Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
SteamWorld Dig 2,PS4,Platform,Rising Star Games,0.01,,,0,0.02,2018-06-19
Rad Rodgers,XOne,Platform,THQ Nordic,0.02,,,0,0.02,2018-02-21
Mega Man X Legacy Collection 1,PS4,Platform,Capcom,,,0.01,,0.01,2018-07-26
Mega Man X Legacy Collection 1,NS,Platform,Capcom,,,0.01,,0.01,2018-07-26
Flashback,PS4,Platform,Microids,0.01,,,0,0.01,2018-11-20
Candle: The Power of the Flame,NS,Platform,Merge Games,0.01,,,0,0.01,2018-10-16
Mega Man X Legacy Collection 2,NS,Platform,Capcom,,,0.01,,0.01,2018-07-26
SteamWorld Dig 2,NS,Platform,Rising Star Games,0.01,,,0,0.01,2018-06-19
Giana Sisters: Twisted Dreams,NS,Platform,THQ Nordic,0.01,,,0,0.01,2018-09-25
The Liar Princess and the Blind Prince,PSV,Platform,Nippon Ichi Software,,,0.01,,0.01,2018-05-31
Mega Man X Legacy Collection 2,PS4,Platform,Capcom,,,0.01,,0.01,2018-07-26
Crash Bandicoot N. Sane Trilogy,PC,Platform,Activision,,0,,0,0,2018-06-29
La-Mulana 2,PC,Platform,AGM Playism,,,,,,2018-07-30
Red Goddess,XOne,Platform,Yanim Studio,,,,,,2018-01-01
Sonic Forces,PC,Platform,Sega,,,,,,2018-01-01
Super Lucky's Tale,PC,Platform,THQ Nordic,,,,,,2018-09-14
Yooka-Laylee,Linux,Platform,Team17 Software,,,,,,2018-01-01
Yooka-Laylee,OSX,Platform,Team17 Software,,,,,,2018-01-01
20XX,NS,Platform,Batterystaple Games,,,,,,2018-07-10
A Robot Named Fight!,NS,Platform,Hitcents,,,,,,2018-04-26
Alteric,NS,Platform,Sometimes You,,,,,,2018-03-30
Arcade Archives: Crazy Climber,NS,Platform,Hamster Corporation,,,,,,2018-02-08
Arcade Archives: Donkey Kong,NS,Platform,Hamster Corporation,,,,,,2018-06-14
Ben and Ed - Blood Party,PC,Platform,Sluggerfly,,,,,,2018-02-13
Bloodstained: Curse of the Moon,PSV,Platform,Inti Creates,,,,,,2018-05-24
Bloodstained: Curse of the Moon,PC,Platform,Inti Creates,,,,,,2018-05-24
Brawl,NS,Platform,QubicGames,,,,,,2018-01-12
Castle of Heart,NS,Platform,7Levels,,,,,,2018-03-23
Celeste,PC,Platform,Matt Makes Games Inc.,,,,,,2018-01-25
Celeste,XOne,Platform,Matt Makes Games Inc.,,,,,,2018-01-26
Celeste,PS4,Platform,Matt Makes Games Inc.,,,,,,2018-01-25
Celeste,NS,Platform,Matt Makes Games Inc.,,,,,,2018-01-25
de Blob,NS,Platform,THQ Nordic,,,,,,2018-06-26
de Blob 2,PS4,Platform,THQ Nordic,,,,,,2018-02-27
Dust: An Elysian Tail,NS,Platform,Humble Hearts,,,,,,2018-09-10
Flashback,XOne,Platform,Microids,,,,,,2018-11-20
Flat Heroes,NS,Platform,Deck 13,,,,,,2018-08-02
Flinthook,NS,Platform,Tribute Games,,,,,,2018-03-09
FOX n FORESTS,PC,Platform,EuroVideo Medien,,,,,,2018-05-17
Freedom Planet,NS,Platform,Galaxy Trail,,,,,,2018-08-30
GRIS,PC,Platform,Devolver Digital,,,,,,2018-12-13
Light Fall,NS,Platform,Bishop Games,,,,,,2018-05-01
Monster Boy and the Cursed Kingdom,XOne,Platform,FDG Entertainment,,,,,,2018-11-06
Nefarious,NS,Platform,Digerati,,,,,,2018-09-13
Orn: The Tiny Forest Sprite,PC,Platform,FIVE12 GAMES,,,,,,2018-12-20
Owlboy,XOne,Platform,D-Pad Studio,,,,,,2018-02-13
Paw Patrol on a Roll,3DS,Platform,Outright Games,,,,,,2018-10-23
Paw Patrol on a Roll,PC,Platform,Outright Games,,,,,,2018-10-23
Runbow,NS,Platform,Headup Games,,,,,,2018-06-14
Sausage Sports Club,NS,Platform,Luckshot Games,,,,,,2018-09-01
Save me Mr Tako: Tasukete Tako-San,NS,Platform,Nicalis,,,,,,2018-10-30
SEGA Ages: Sonic the Hedgehog,NS,Platform,Sega,,,,,,2018-09-20
Shadow Bug,NS,Platform,Muro Studios,,,,,,2018-03-30
Shu,NS,Platform,Coatsink Software,,,,,,2018-01-23
Sling Ming,NS,Platform,Good Night Brave Warrior,,,,,,2018-04-05
Spartan,NS,Platform,Sinister Cyclops,,,,,,2018-04-01
SteamWorld Dig 2,3DS,Platform,Image & Form Games,,,,,,2018-02-22
SteamWorld Dig 2,XOne,Platform,Image & Form Games,,,,,,2018-11-21
SteamWorld Dig: A Fistful of Dirt,NS,Platform,Image & Form Games,,,,,,2018-02-01
Super Chariot,NS,Platform,Unknown,,,,,,2018-05-10
Super Meat Boy,NS,Platform,BlitWorks,,,,,,2018-01-11
Super One More Jump,NS,Platform,SMG Studio,,,,,,2018-01-25
Super Skull Smash GO! 2 Turbo,PC,Platform,Poppy Works,,,,,,2018-07-17
Super Skull Smash GO! 2 Turbo,PS4,Platform,Poppy Works,,,,,,2018-07-17
Super Skull Smash GO! 2 Turbo,PSV,Platform,Poppy Works,,,,,,2018-07-17
Superola and the Lost Burgers,NS,Platform,Undergames,,,,,,2018-02-22
The Messenger,NS,Platform,Devolver Digital,,,,,,2018-08-30
The Messenger,PC,Platform,Devolver Digital,,,,,,2018-08-30
The Swindle,NS,Platform,Curve Digital,,,,,,2018-10-11
TurtlePop : Journey to Freedom,NS,Platform,DigiPen Game Studios,,,,,,2018-03-09
Twin Robots Ultimate Edition,NS,Platform,Ratalaika Games,,,,,,2018-02-23
Unravel Two,XOne,Platform,Electronic Arts,,,,,,2018-06-09
Unravel Two,PC,Platform,Electronic Arts,,,,,,2018-06-09
Unravel Two,PS4,Platform,Electronic Arts,,,,,,2018-06-09
Unravel Yarny Bundle,XOne,Platform,Electronic Arts,,,,,,2018-07-24
Unravel Yarny Bundle,PS4,Platform,Electronic Arts,,,,,,2018-07-24
Venture Kid,PC,Platform,Snikkabo AS,,,,,,2018-05-03
Xenon Valkyrie+,PS4,Platform,COWCAT,,,,,,2018-02-20
Xenon Valkyrie+,XOne,Platform,COWCAT,,,,,,2018-02-21
Xeodrifter,NS,Platform,Atooi,,,,,,2018-02-15
Captain Toad: Treasure Tracker,NS,Puzzle,Nintendo,,,,,,2018-07-13
Bendy and the Ink Machine,PC,Puzzle,Joey Drew Studios Inc.,,,,,,2018-02-28
Talon Man Remastered,Amig,Puzzle,Out of crumpét's:,,,,,,2018-01-01
Tetris Effect,PS4,Puzzle,Sony Interactive Entertainment,0.19,0.01,0.01,0.05,0.25,2018-11-09
Captain Toad: Treasure Tracker,3DS,Puzzle,Nintendo,0.06,0.04,0.08,0.01,0.19,2018-07-13
Bendy and the Ink Machine,PS4,Puzzle,Rooster Teeth Games,0.15,,,0.03,0.18,2018-11-20
Bendy and the Ink Machine,NS,Puzzle,Rooster Teeth Games,0.15,,,0.02,0.17,2018-11-20
Bendy and the Ink Machine,XOne,Puzzle,Rooster Teeth Games,0.14,,,0.02,0.16,2018-11-20
Sushi Striker: The Way of Sushido,NS,Puzzle,Nintendo,0.02,0.01,0.03,0,0.07,2018-06-08
Super Bomberman R,PS4,Puzzle,Konami Digital Entertainment,0.03,,0.03,0.01,0.06,2018-06-12
Sushi Striker: The Way of Sushido,3DS,Puzzle,Nintendo,0.02,,0.02,0,0.04,2018-06-08
Super Bomberman R,XOne,Puzzle,Konami Digital Entertainment,0.03,,,0,0.03,2018-06-12
Bridge Constructor Portal,XOne,Puzzle,Nighthawk Interactive,0.02,,,0,0.02,2018-08-28
Gotouchi Tetsudou for Nintendo Switch!!,NS,Puzzle,Bandai Namco Games,,,0.02,,0.02,2018-02-22
The Mahjong,NS,Puzzle,D3Publisher,,,0,,0,2018-06-23
Lady Layton: The Millionaire Ariadone's Conspiracy,And,Puzzle,Level 5,,,,,,2018-01-01
A Normal Lost Phone,NS,Puzzle,Plug In Digital,,,,,,2018-03-01
ACA NEOGEO Gururin,XOne,Puzzle,Hamster Corporation,,,,,,2018-04-12
ACA NEOGEO Gururin,PS4,Puzzle,Hamster Corporation,,,,,,2018-06-08
ACA NEOGEO Gururin,NS,Puzzle,Hamster Corporation,,,,,,2018-04-12
ACA NEOGEO MAGICAL DROP III,PS4,Puzzle,Hamster Corporation,,,,,,2018-06-06
ACA NEOGEO MAGICAL DROP III,NS,Puzzle,Hamster Corporation,,,,,,2018-02-22
ACA NEOGEO MAGICAL DROP III,XOne,Puzzle,Hamster Corporation,,,,,,2018-02-22
ACA NEOGEO Money Puzzle Exchanger,XOne,Puzzle,Hamster Corporation,,,,,,2018-06-28
ACA NEOGEO Money Puzzle Exchanger,NS,Puzzle,Hamster Corporation,,,,,,2018-06-28
Animated Jigsaws: Beautiful Japanese Scenery,NS,Puzzle,Rainy Frog,,,,,,2018-04-05
Azkend 2: The World Beneath,NS,Puzzle,10tons,,,,,,2018-01-12
Baseball Riot,NS,Puzzle,10tons Ltd,,,,,,2018-01-19
D/Generation HD,NS,Puzzle,West Coast Software,,,,,,2018-03-27
Defoliation,NS,Puzzle,Cosen,,,,,,2018-05-31
Donut County,NS,Puzzle,Annapurna Interactive,,,,,,2018-12-18
Enchanting Mahjong Match,NS,Puzzle,D3Publisher,,,,,,2018-03-15
Energy Balance,NS,Puzzle,Sometimes You,,,,,,2018-01-16
Energy Invasion,NS,Puzzle,Evgeniy Kolpakov,,,,,,2018-01-11
Enigmatis 2: The Mists Of Ravenwood,NS,Puzzle,Artifex Mundi sp. z o.o.,,,,,,2018-05-25
Enigmatis 3: The Shadow Of Karkhala,PS4,Puzzle,Big Fish Games,,,,,,2018-04-06
Gem Smashers,NS,Puzzle,TREVA Entertainment,,,,,,2018-03-15
Grid Mania,NS,Puzzle,QubicGames,,,,,,2018-03-02
Grim Fandango Remastered,NS,Puzzle,Double Fine Productions,,,,,,2018-11-01
Gunhouse,NS,Puzzle,Other Ocean Interactive,,,,,,2018-01-15
"I, Zombie",NS,Puzzle,Awesome Games Studio,,,,,,2018-03-08
Lumines Remastered,NS,Puzzle,Enhance,,,,,,2018-05-01
Manifold Garden,PS4,Puzzle,William Chyr Studio,,,,,,2018-12-30
Membrane,NS,Puzzle,Perfect Hat,,,,,,2018-02-22
Metropolis: Lux Obscura,NS,Puzzle,Sometimes You,,,,,,2018-04-04
Millie,NS,Puzzle,Forever Entertainment S.A.,,,,,,2018-02-15
Nuclien,NS,Puzzle,Springloaded,,,,,,2018-01-19
Old Man's Journey,NS,Puzzle,Broken Rules,,,,,,2018-02-20
Packet Queen #,NS,Puzzle,Studio F-Sharp,,,,,,2018-03-01
Persian Nights: Sands Of Wonders,NS,Puzzle,Artifex Mundi sp. z o.o.,,,,,,2018-08-17
Picross S2,NS,Puzzle,Jupiter Corporation,,,,,,2018-08-02
Pixel Puzzles 2: Christmas,PC,Puzzle,DL Softworks,,,,,,2018-11-27
Professor Watts Memory Match: Expressions,PC,Puzzle,Unknown,,,,,,2018-09-12
Professor Watts Memory Match: Puppies,PC,Puzzle,Unknown,,,,,,2018-09-18
Q.U.B.E. 2,PC,Puzzle,Trapped Nerve Games,,,,,,2018-03-13
Qbik,NS,Puzzle,Forever Entertainment S.A.,,,,,,2018-01-18
Salary Man Escape VR,PS4,Puzzle,Oasis Games Ltd.,,,,,,2018-06-26
Slayaway Camp: Butcher's Cut,NS,Puzzle,Digerati,,,,,,2018-03-22
Spiral Splatter,NS,Puzzle,Sometimes You,,,,,,2018-03-13
Spy Chameleon - RGB Agent,NS,Puzzle,Unfinished Pixel,,,,,,2018-03-09
Spy Chameleon - RGB Agent,NS,Puzzle,Unfinished Pixel,,,,,,2018-03-09
SubaraCity,NS,Puzzle,Flyhigh Works,,,,,,2018-08-31
Subsurface Circular,NS,Puzzle,Ant Workshop,,,,,,2018-03-01
Swim Out,NS,Puzzle,Lozange Lab,,,,,,2018-03-20
Tales of the Tiny Planet,NS,Puzzle,Pixelsplit,,,,,,2018-01-17
The Gardens Between,PS4,Puzzle,The Voxel Agents,,,,,,2018-09-20
The Gardens Between,NS,Puzzle,The Voxel Agents,,,,,,2018-09-20
The Room,NS,Puzzle,Team17 Digital Ltd,,,,,,2018-10-18
The Talos Principle,XOne,Puzzle,Devolver Digital,,,,,,2018-08-31
Toki Tori,NS,Puzzle,Two Tribes,,,,,,2018-03-30
Toki Tori 2+,NS,Puzzle,Two Tribes,,,,,,2018-02-23
Totes the Goat,NS,Puzzle,Atooi,,,,,,2018-03-01
Transference,PS4,Puzzle,Ubisoft,,,,,,2018-09-18
Typoman,NS,Puzzle,Wales Interactive Ltd.,,,,,,2018-02-22
Vesta,NS,Puzzle,FinalBoss Games,,,,,,2018-01-19
Vesta,PC,Puzzle,FinalBoss Games,,,,,,2018-01-19
Vesta,XOne,Puzzle,FinalBoss Games,,,,,,2018-01-19
Vesta,PS4,Puzzle,FinalBoss Games,,,,,,2018-01-19
Warp Shift,NS,Puzzle,Isbit Games,,,,,,2018-03-27
Word Sudoku by POWGI,PS4,Puzzle,Unknown,,,,,,2018-10-22
Zombillie,NS,Puzzle,Forever Entertainment S.A.,,,,,,2018-03-29
Forza Horizon 4,XOne,Racing,Microsoft Studios,0.74,0.95,0.01,0.15,1.84,2018-10-02
The Crew 2,PS4,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82,2018-06-29
F1 2018,PS4,Racing,Codemasters,0.05,0.39,0.01,0.08,0.53,2018-08-24
Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,Racing,Nintendo,0.16,0.15,0.06,0.03,0.41,2018-09-14
Burnout Paradise Remastered,PS4,Racing,Electronic Arts,0.08,0.22,0.01,0.06,0.37,2018-03-16
The Crew 2,XOne,Racing,Ubisoft,0.2,0.1,,0.03,0.33,2018-06-29
TT Isle of Man: Ride on the Edge,PS4,Racing,Big Ben Interactive,0.05,0.09,,0.03,0.17,2018-03-06
F1 2018,XOne,Racing,Codemasters,0.05,0.1,,0.01,0.17,2018-08-24
Nickelodeon Kart Racers,NS,Racing,GameMill Entertainment,0.08,0.04,,0.01,0.13,2018-10-23
NASCAR Heat 3,PS4,Racing,704Games,0.1,,,0.02,0.13,2018-09-07
MX vs ATV All Out,PS4,Racing,THQ Nordic,0.09,0.01,,0.02,0.12,2018-03-27
Monster Energy Supercross - The Official Videogame,PS4,Racing,Milestone S.r.l.,0.08,0.01,,0.02,0.11,2018-02-13
Burnout Paradise Remastered,XOne,Racing,Electronic Arts,0.06,0.04,,0.01,0.11,2018-03-16
NASCAR Heat 3,XOne,Racing,704Games,0.09,,,0.01,0.1,2018-09-07
BallisticNG,PC,Racing,Neognosis,,,,,,2018-12-14
Nickelodeon Kart Racers,XOne,Racing,GameMill Entertainment,0.08,,,0.01,0.09,2018-10-23
Nickelodeon Kart Racers,PS4,Racing,GameMill Entertainment,0.07,,,0.02,0.09,2018-10-23
Monster Energy Supercross - The Official Videogame,XOne,Racing,Milestone S.r.l.,0.08,,,0.01,0.08,2018-02-13
TT Isle of Man: Ride on the Edge,XOne,Racing,Big Ben Interactive,0.05,0.03,,0.01,0.08,2018-03-06
Spintires: MudRunner - American Wilds,PS4,Racing,Focus Home Interactive,0.07,,,0.02,0.08,2018-10-23
Gravel,PS4,Racing,Milestone S.r.l.,0.06,,,0.01,0.08,2018-02-27
MX vs ATV All Out,XOne,Racing,THQ Nordic,0.07,,,0.01,0.08,2018-03-27
Ride 3,PS4,Racing,Bandai Namco Entertainment,0.03,0.03,,0.01,0.07,2018-11-30
Spintires: MudRunner - American Wilds,XOne,Racing,Focus Home Interactive,0.06,,,0.01,0.07,2018-10-23
Spintires: MudRunner - American Wilds,NS,Racing,Maximum Games,0.05,,,0.01,0.06,2018-10-23
MXGP Pro,PS4,Racing,Milestone S.r.l.,0.04,,,0.01,0.05,2018-07-10
Dakar 18,PS4,Racing,Deep Silver,0.03,0.01,,0.01,0.05,2018-09-25
Gravel,XOne,Racing,Milestone S.r.l.,0.04,,,0,0.05,2018-02-27
Onrush,PS4,Racing,Deep Silver,0.04,,,0.01,0.05,2018-06-05
Snow Moto Racing Freedom,NS,Racing,Big Ben Interactive,0.03,,,0,0.03,2018-03-27
Monster Energy Supercross - The Official Videogame,NS,Racing,Milestone S.r.l.,0.03,,,0,0.03,2018-02-13
Onrush,XOne,Racing,Deep Silver,0.03,,,0,0.03,2018-06-05
Aqua Moto Racing Utopia,NS,Racing,Big Ben Interactive,0.03,,,0,0.03,2018-03-27
Ride 3,XOne,Racing,Bandai Namco Entertainment,0.03,,,0,0.03,2018-11-30
MXGP Pro,XOne,Racing,Milestone S.r.l.,0.03,,,0,0.03,2018-07-10
All-Star Fruit Racing,PS4,Racing,PQube,0.03,,,0.01,0.03,2018-08-21
Trailblazers,PS4,Racing,Rising Star Games,0.02,,,0,0.02,2018-05-08
ATV Drift & Tricks,XOne,Racing,Microids,0.02,,,0,0.02,2018-11-20
Gear Club Unlimited 2,NS,Racing,Microids,0.02,,,0,0.02,2018-12-04
GRIP: Combat Racing,NS,Racing,U&I Entertainment,0.01,,,0,0.02,2018-11-06
Dakar 18,XOne,Racing,Deep Silver,0.01,,,0,0.02,2018-09-25
GRIP: Combat Racing,PS4,Racing,U&I Entertainment,0.01,,,0,0.01,2018-11-06
Moto Racer 4,NS,Racing,Maximum Games,0.01,,,0,0.01,2018-11-20
All-Star Fruit Racing,NS,Racing,PQube,0.01,,,0,0.01,2018-08-21
F1 2018,PC,Racing,Codemasters,,0.01,,0,0.01,2018-08-24
Trailblazers,NS,Racing,Rising Star Games,0.01,,,0,0.01,2018-04-15
V-Rally 4,PS4,Racing,Bigben Interactive,0.01,,,0,0.01,2018-09-11
V-Rally 4,XOne,Racing,Bigben Interactive,0.01,,,0,0.01,2018-09-11
ATV Drift & Tricks,NS,Racing,Microids,0.01,,,0,0.01,2018-11-22
MotoGP 18,PC,Racing,Milestone S.r.l.,,0,,0,0,2018-03-31
Aqua Moto Racing Utopia,WiiU,Racing,Zordix AB,,,,,,2018-04-19
Redout,NS,Racing,Nicalis,,,,,,2018-12-30
The Crew 2,PC,Racing,Ubisoft,,,,,,2018-06-29
ACA NEOGEO RIDING HERO,XOne,Racing,Hamster Corporation,,,,,,2018-06-07
ACA NEOGEO RIDING HERO,NS,Racing,Hamster Corporation,,,,,,2018-06-07
Antigraviator,PC,Racing,Iceberg Interactive,,,,,,2018-06-06
Coffin Dodgers,NS,Racing,Wales Interactive Ltd.,,,,,,2018-03-13
Dakar 18,PC,Racing,Deep Silver,,,,,,2018-09-25
Forza Horizon 4,All,Racing,Microsoft Studios,,,,,,2018-10-02
Forza Horizon 4,PC,Racing,Microsoft Studios,,,,,,2018-10-02
Gear.Club Unlimited 2,NS,Racing,Microids,,,,,,2018-12-04
Gotcha Racing 2nd,NS,Racing,Arc System Works,,,,,,2018-05-29
Grand Prix Rock 'N Racing,NS,Racing,EnjoyUp Games,,,,,,2018-01-04
Gravel,PC,Racing,Milestone S.r.l.,,,,,,2018-02-27
GRIP: Combat Racing,XOne,Racing,U&I Entertainment,,,,,,2018-11-06
GRIP: Combat Racing,PC,Racing,U&I Entertainment,,,,,,2018-11-06
Horizon Chase Turbo,NS,Racing,AQUIRIS,,,,,,2018-11-28
Horizon Chase Turbo,PC,Racing,AQUIRIS,,,,,,2018-05-15
Horizon Chase Turbo,XOne,Racing,AQUIRIS,,,,,,2018-11-28
Horizon Chase Turbo,PS4,Racing,AQUIRIS,,,,,,2018-05-15
Meow Motors,PC,Racing,ArtVostok,,,,,,2018-06-04
MotoGP 18,XOne,Racing,Milestone S.r.l.,,,,,,2018-06-07
MotoGP 18,PS4,Racing,Milestone S.r.l.,,,,,,2018-06-07
MotoGP 18,NS,Racing,Milestone S.r.l.,,,,,,2018-06-28
MX vs ATV All Out,PC,Racing,THQ Nordic,,,,,,2018-03-27
MXGP Pro,PC,Racing,Milestone S.r.l.,,,,,,2018-06-29
Rally Racers,NS,Racing,System 3,,,,,,2018-01-11
Ride 3,PC,Racing,Bandai Namco Entertainment,,,,,,2018-11-30
Super Toy Cars,NS,Racing,Eclipse Games,,,,,,2018-03-02
Trailblazers,XOne,Racing,Rising Star Games,,,,,,2018-05-09
Trailblazers,PC,Racing,Rising Star Games,,,,,,2018-05-08
Urban Trial Playground,NS,Racing,Tate Multimedia,,,,,,2018-04-05
V-Rally 4,PC,Racing,Bigben Interactive,,,,,,2018-09-25
Wreckfest,PC,Racing,THQ Nordic,,,,,,2018-06-14
Monster Hunter: World,All,Role-Playing,Capcom,,,,,,2018-01-26
"Pokémon: Let's Go, Pikachu/Eevee",NS,Role-Playing,Nintendo,,,,,,2018-11-16
Dragon Quest XI,All,Role-Playing,Square Enix,,,,,,2018-09-04
Octopath Traveler,Series,Role-Playing,Square Enix,,,,,,2018-07-13
Dark Souls: Remastered,All,Role-Playing,Bandai Namco Entertainment,,,,,,2018-05-25
Kingdom Come: Deliverance,All,Role-Playing,Deep Silver,,,,,,2018-02-13
Octopath Traveler,All,Role-Playing,Square Enix,,,,,,2018-07-13
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,Role-Playing,Nintendo,,,,,,2018-09-07
Dragon Quest XI: Echoes of an Elusive Age,PS4,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04,2018-09-04
Vampyr,All,Role-Playing,Focus Home Interactive,,,,,,2018-06-05
Octopath Traveler,NS,Role-Playing,Nintendo,,,,,,2018-07-13
Dark Souls: Remastered,PS4,Role-Playing,Bandai Namco Entertainment,,,,,,2018-05-25
Fallout 76,PS4,Role-Playing,Bethesda Softworks,0.52,0.49,0.1,0.2,1.32,2018-11-14
Dark Souls: Remastered,NS,Role-Playing,Bandai Namco Entertainment,,,,,,2018-10-19
Kingdom Come: Deliverance,PC,Role-Playing,Warhorse Studios,,,,,,2018-02-13
Moonlighter,All,Role-Playing,11 bit studios,,,,,,2018-05-29
The Scroll of Taiwu,PC,Role-Playing,ConchShip Games,,,,,,2018-09-21
Valkyria Chronicles 4,All,Role-Playing,Sega,,,,,,2018-09-25
Fallout 76,XOne,Role-Playing,Bethesda Softworks,0.59,0.26,,0.09,0.93,2018-11-14
Ni no Kuni II: Revenant Kingdom,All,Role-Playing,Bandai Namco Entertainment,,,,,,2018-03-23
Ni no Kuni II: Revenant Kingdom,PS4,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89,2018-03-23
Kingdom Come: Deliverance,PS4,Role-Playing,Deep Silver,0.18,0.28,,0.09,0.56,2018-02-13
Final Fantasy XV: Windows Edition,PC,Role-Playing,Square Enix,,,,,,2018-03-06
Vampyr,PS4,Role-Playing,Focus Home Interactive,0.12,0.19,,0.06,0.37,2018-06-05
Dark Souls: Remastered,PC,Role-Playing,Bandai Namco Entertainment,,,,,,2018-05-25
Sword Art Online: Fatal Bullet,PS4,Role-Playing,Namco Bandai Games,0.11,0.03,0.13,0.03,0.29,2018-02-23
Tales of Berseria,PC,Role-Playing,Namco Bandai Games,,,,,,2018-01-01
Secret of Mana,PS4,Role-Playing,Square Enix,0.06,0.12,0.05,0.04,0.28,2018-02-15
The World Ends with You: Final Remix,NS,Role-Playing,Nintendo,0.14,0.08,0.03,0.02,0.27,2018-10-12
Sword Art Online: Hollow Realization,PSV,Role-Playing,Namco Bandai Games,,0.08,0.16,0.02,0.26,2018-01-01
Valkyria Chronicles 4,PS4,Role-Playing,Sega,0.1,0.03,0.08,0.03,0.25,2018-09-25
Dragon Quest Builders: Revive Alefgard,NS,Role-Playing,Square Enix,0.07,0.07,0.07,0.01,0.22,2018-02-09
Kingdom Come: Deliverance,XOne,Role-Playing,Deep Silver,0.14,0.06,,0.02,0.22,2018-02-13
Radiant Historia: Perfect Chronology,3DS,Role-Playing,Atlus,0.11,0.03,0.06,0.01,0.21,2018-02-13
Fallout 76,PC,Role-Playing,Bethesda Softworks,0.12,0.07,,0.02,0.21,2018-11-14
Kingdom Hearts: The Story So Far,PS4,Role-Playing,Square Enix,0.17,,,0.04,0.2,2018-10-30
Pillars of Eternity II: Deadfire,PC,Role-Playing,Versus Evil,,,,,,2018-12-31
Shin Megami Tensei: Strange Journey Redux,3DS,Role-Playing,Atlus,0.08,0.01,0.1,0.01,0.2,2018-05-15
Sword Art Online: Fatal Bullet,PC,Role-Playing,Namco Bandai Games,,,,,,2018-02-23
Vampyr,PC,Role-Playing,Focus Home Interactive,,,,,,2018-06-05
Digimon Story: Cyber Sleuth - Hacker's Memory,PS4,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16,2018-01-19
Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,Role-Playing,Nintendo,0.08,0.05,0.02,0.01,0.16,2018-09-21
Labyrinth of Refrain: Coven of Dusk,All,Role-Playing,Nippon Ichi Software,,,,,,2018-09-18
Moonlighter,NS,Role-Playing,Merge Games,,,,,,2018-11-09
South Park: The Fractured But Whole,NS,Role-Playing,Ubisoft,0.08,0.05,,0.01,0.14,2018-04-24
Divinity: Original Sin II,PS4,Role-Playing,Bandai Namco Entertainment,0.04,0.08,,0.02,0.13,2018-08-31
Delver,PC,Role-Playing,Priority Interrupt,,,,,,2018-02-01
Ni no Kuni II: Revenant Kingdom,PC,Role-Playing,Namco Bandai Games,,,,,,2018-03-23
Dragon's Crown Pro,PS4,Role-Playing,Atlus,0.1,,,0.02,0.12,2018-04-24
Vampyr,XOne,Role-Playing,Focus Home Interactive,0.07,0.04,,0.01,0.12,2018-06-05
Pokémon Crystal Version,3DS,Role-Playing,Nintendo,,0.11,,0.01,0.12,2018-01-26
Call of Cthulhu,PS4,Role-Playing,Focus Home Interactive,0.07,0.03,,0.02,0.12,2018-10-30
The Alliance Alive,3DS,Role-Playing,Atlus,0.04,,0.06,0.01,0.11,2018-03-27
Final Fantasy XII: The Zodiac Age,PC,Role-Playing,Square Enix,,,,,,2018-02-01
Ys VIII: Lacrimosa of Dana,NS,Role-Playing,NIS America,0.03,0.03,0.03,0.01,0.11,2018-06-26
Dark Souls: Remastered,XOne,Role-Playing,Bandai Namco Entertainment,0.07,0.03,,0.01,0.11,2018-05-25
Sword Art Online: Fatal Bullet,XOne,Role-Playing,Namco Bandai Games,0.09,,,0.01,0.1,2018-02-23
Dark Souls Trilogy,PS4,Role-Playing,Bandai Namco Entertainment,0.07,,0.01,0.02,0.09,2018-10-19
Shining Resonance Refrain,NS,Role-Playing,Sega,0.05,0.01,0.01,0.01,0.09,2018-07-10
Shining Resonance Refrain,PS4,Role-Playing,Sega,0.03,0.01,0.04,0.01,0.08,2018-07-10
The Witch and the Hundred Knight 2,PS4,Role-Playing,NIS America,0.03,,0.03,0.01,0.07,2018-03-27
Disgaea 1 Complete,PS4,Role-Playing,NIS America,0.04,,0.01,0.01,0.07,2018-10-09
Dragon's Crown Pro,PS4,Role-Playing,Atlus,,0.03,0.03,0,0.07,2018-05-15
Victor Vran: Overkill Edition,NS,Role-Playing,Wired Productions,0.06,,,0.01,0.06,2018-08-28
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,PS4,Role-Playing,Tecmo Koei,0.03,,0.03,0.01,0.06,2018-03-27
Shadows Awakening,PS4,Role-Playing,Kalypso Media,0.05,,,0.01,0.06,2018-09-04
Disgaea 1 Complete,NS,Role-Playing,NIS America,0.03,0.01,0.01,0,0.06,2018-10-09
Portal Knights,NS,Role-Playing,505 Games,0.02,0.02,0.01,0,0.06,2018-02-13
Call of Cthulhu,XOne,Role-Playing,Focus Home Interactive,0.05,,,0.01,0.05,2018-10-30
Metal Max Xeno,All,Role-Playing,NIS America,,,,,,2018-09-25
Metal Max Xeno,PS4,Role-Playing,NIS America,0.02,,0.03,0,0.05,2018-09-25
Battle Chasers: Nightwar,NS,Role-Playing,THQ Nordic,0.03,0.01,,0,0.05,2018-05-15
